Season,GameCode,Team,PlayerID,PlayerName,PIR,IsStarter,IsPlaying,Dorsal,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Plusminus
2023,1,RED,P004720,"LAZAREVIC, STEFAN",1,0,1,2,05:04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1
2023,1,RED,PJDR,"TEODOSIC, MILOS",-1,0,1,4,14:37,3,0,3,1,3,0,0,0,3,3,2,1,1,0,0,4,0,6
2023,1,RED,P005099,"HANGA, ADAM",9,0,1,5,22:21,7,1,6,1,5,2,2,1,3,4,3,2,1,1,0,1,3,4
2023,1,RED,P002553,"MITROVIC, LUKA",14,0,1,9,21:32,9,3,3,0,0,3,4,1,0,1,2,1,0,0,0,2,4,20
2023,1,RED,PLUO,"LAZIC, BRANKO",8,1,0,10,12:46,6,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,7
2023,1,RED,P012711,"SIMONOVIC, MARKO",10,1,0,11,18:22,14,4,4,2,2,0,0,1,0,1,0,0,1,0,0,5,1,8
2023,1,RED,P011224,"NAPIER, SHABAZZ",20,1,0,13,20:40,21,2,3,5,8,2,2,0,3,3,1,2,2,0,0,2,1,20
2023,1,RED,P008966,"TOBEY, MIKE",-1,0,0,18,13:04,0,0,1,0,3,0,0,2,3,5,0,1,2,0,0,1,0,3
2023,1,RED,P011964,"ILIC, DALIBOR",3,0,1,22,14:33,5,1,5,1,2,0,0,5,0,5,0,0,0,0,2,1,1,-1
2023,1,RED,P000848,"NEDOVIC, NEMANJA",15,0,0,26,16:57,12,3,6,1,2,3,3,0,3,3,3,1,2,0,0,1,3,3
2023,1,RED,P006436,"GIEDRAITIS, ROKAS",20,1,0,31,27:51,17,2,4,4,7,1,2,1,4,5,4,2,0,0,0,3,1,24
2023,1,RED,P003479,"KUZMIC, OGNJEN",5,1,0,32,12:13,0,0,2,0,0,0,0,3,1,4,4,0,0,1,1,1,0,12
2023,1,ASV,P012729,"SCOTT, MIKE",12,0,1,0,22:22,13,3,3,2,5,1,3,1,1,2,1,0,0,0,0,0,1,-6
